 &plot nbnd=  44, nks=   100 /
            0.000000  0.000000  0.000000
   -3.286   -3.277   -3.081   -3.067   -2.124   -2.115   -1.857   -1.835   -1.682   -1.650
   -0.959   -0.928   -0.828   -0.823   -0.394   -0.386    1.924    1.950    2.102    2.106
    2.224    2.247    2.343    2.352
            0.094595  0.054614  0.000000
  -61.548  -61.548  -37.308  -37.306  -34.917  -34.914  -34.675  -34.674  -16.317  -16.311
  -14.222  -14.204   -7.507   -7.493   -5.335   -5.330   -5.037   -5.034   -4.880   -4.878
   -3.343   -3.333   -3.074   -3.059   -2.166   -2.153   -1.848   -1.824   -1.657   -1.622
   -1.002   -0.967   -0.836   -0.828   -0.378   -0.369    1.881    1.920    2.148    2.153
    2.230    2.257    2.284    2.294
            0.108108  0.062416  0.000000
  -61.547  -61.547  -37.310  -37.308  -34.919  -34.916  -34.681  -34.681  -16.284  -16.276
  -14.197  -14.177   -7.470   -7.454   -5.425   -5.420   -5.045   -5.042   -4.871   -4.869
   -3.404   -3.392   -3.067   -3.050   -2.208   -2.192   -1.837   -1.810   -1.638   -1.598
   -1.048   -1.011   -0.843   -0.833   -0.361   -0.351    1.836    1.885    2.137    2.150
    2.236    2.253    2.288    2.291
            0.121622  0.070218  0.000000
  -61.545  -61.545  -37.313  -37.311  -34.921  -34.917  -34.688  -34.688  -16.246  -16.238
  -14.169  -14.147   -7.429   -7.412   -5.524   -5.520   -5.055   -5.052   -4.864   -4.861
   -3.468   -3.454   -3.060   -3.041   -2.249   -2.230   -1.822   -1.793   -1.623   -1.580
   -1.098   -1.059   -0.847   -0.835   -0.342   -0.332    1.792    1.851    2.064    2.076
    2.253    2.290    2.319    2.328
            0.135135  0.078020  0.000000
  -61.544  -61.544  -37.316  -37.314  -34.923  -34.919  -34.696  -34.695  -16.205  -16.196
  -14.138  -14.114   -7.384   -7.365   -5.632   -5.627   -5.067   -5.063   -4.858   -4.855
   -3.532   -3.516   -3.053   -3.033   -2.289   -2.267   -1.805   -1.775   -1.614   -1.567
   -1.150   -1.110   -0.849   -0.834   -0.322   -0.312    1.750    1.818    1.984    1.998
    2.238    2.272    2.399    2.401
            0.148649  0.085822  0.000000
  -61.543  -61.543  -37.320  -37.317  -34.925  -34.921  -34.704  -34.703  -16.159  -16.150
  -14.104  -14.078   -7.336   -7.316   -5.746   -5.741   -5.079   -5.075   -4.856   -4.853
   -3.595   -3.577   -3.046   -3.025   -2.327   -2.303   -1.784   -1.754   -1.610   -1.560
   -1.204   -1.164   -0.846   -0.830   -0.301   -0.291    1.709    1.782    1.913    1.927
    2.208    2.240    2.483    2.485
            0.162162  0.093624  0.000000
  -61.541  -61.541  -37.323  -37.320  -34.928  -34.923  -34.712  -34.711  -16.111  -16.101
  -14.067  -14.039   -7.285   -7.264   -5.866   -5.861   -5.094   -5.090   -4.858   -4.855
